,zeros,bbnums,fix_bill,billboard#_fixated_count,billboard,billboard#,billboard#_duration,position_index,billboard_named_position,billboard_image_at_position_text
0,0.0,1.0,1,1,1,1.0,0.58,1,billboard_image_1,health_11_vaping_neu
1,0.0,2.0,2,2,2,2.0,3.149999999999995,2,billboard_image_2,commercial_2_burger_emo
2,0.0,3.0,3,2,3,3.0,1.8100000000000094,3,billboard_image_3,health_6_drugged_driving_emo
3,0.0,4.0,4,1,4,4.0,3.8999999999999986,4,billboard_image_4,health_4_HIV_neu
4,0.0,5.0,5,2,5,5.0,3.9099999999999895,5,billboard_image_5,health_5_text_driving_emo
5,0.0,6.0,6,2,6,6.0,3.530000000000001,6,billboard_image_6,health_2_buckle_up_emo
6,0.0,7.0,7,2,7,7.0,3.160000000000011,7,billboard_image_7,health_13_tech_addiction_emo
7,0.0,8.0,8,3,8,8.0,1.970000000000013,8,billboard_image_8,health_10_vaccination_emo
8,0.0,9.0,9,3,9,9.0,4.290000000000006,9,billboard_image_9,commercial_3_coffee_neu
9,0.0,10.0,10,4,10,10.0,3.730000000000018,10,billboard_image_10,health_14_healthy_diet_neu
10,0.0,11.0,11,3,11,11.0,5.130000000000024,11,billboard_image_11,commercial_6_hotel_emo
11,0.0,12.0,12,3,12,12.0,3.1799999999999784,12,billboard_image_12,health_3_diabetes_emo
12,0.0,13.0,13,4,13,13.0,3.7500000000000284,13,billboard_image_13,health_7_smoking_emo
13,0.0,14.0,14,3,14,14.0,3.6200000000000045,14,billboard_image_14,health_12_marijuana_neu
14,0.0,15.0,15,3,15,15.0,3.670000000000016,15,billboard_image_15,health_1_binge_drinking_neu
15,0.0,16.0,16,2,16,16.0,2.2700000000000102,16,billboard_image_16,commercial_1_brunch_neu
16,0.0,17.0,17,2,17,17.0,4.039999999999992,17,billboard_image_17,commercial_4_education_donation_neu
17,0.0,18.0,18,5,18,18.0,4.920000000000044,18,billboard_image_18,health_8_sun_protection_neu
18,0.0,19.0,19,4,19,19.0,2.909999999999968,19,billboard_image_19,health_9_wash_hands_neu
19,0.0,20.0,20,1,20,20.0,1.089999999999975,20,billboard_image_20,commercial_5_furniture_emo
