,zeros,bbnums,fix_bill,count,billboard,position_index,billboard_named_position,billboard_image_at_position_text
0,0.0,1.0,1,2,1.0,1,billboard_image_1,health_12_marijuana_neu
1,0.0,2.0,2,2,2.0,2,billboard_image_2,health_8_sun_protection_emo
2,0.0,3.0,3,3,3.0,3,billboard_image_3,health_1_binge_drinking_emo
3,0.0,4.0,4,2,4.0,4,billboard_image_4,health_10_vaccination_neu
4,0.0,5.0,5,1,5.0,5,billboard_image_5,health_14_healthy_diet_emo
5,0.0,6.0,6,3,6.0,6,billboard_image_6,health_13_tech_addiction_emo
6,0.0,7.0,7,1,7.0,7,billboard_image_7,health_3_diabetes_neu
7,0.0,8.0,8,2,8.0,8,billboard_image_8,commercial_6_hotel_emo
8,0.0,9.0,9,3,9.0,9,billboard_image_9,health_2_buckle_up_neu
9,0.0,10.0,10,2,10.0,10,billboard_image_10,health_4_HIV_emo
10,0.0,11.0,11,1,11.0,11,billboard_image_11,health_9_wash_hands_neu
11,0.0,12.0,12,2,12.0,12,billboard_image_12,commercial_5_furniture_emo
12,0.0,13.0,13,2,13.0,13,billboard_image_13,health_7_smoking_neu
13,0.0,14.0,14,1,14.0,14,billboard_image_14,health_5_text_driving_neu
14,0.0,15.0,15,1,15.0,15,billboard_image_15,health_6_drugged_driving_emo
15,0.0,16.0,16,2,16.0,16,billboard_image_16,commercial_1_brunch_neu
16,0.0,17.0,17,2,17.0,17,billboard_image_17,commercial_3_coffee_emo
17,0.0,18.0,18,1,18.0,18,billboard_image_18,health_11_vaping_neu
18,0.0,19.0,19,2,19.0,19,billboard_image_19,commercial_4_education_donation_neu
19,0.0,20.0,20,3,20.0,20,billboard_image_20,commercial_2_burger_emo
