position,billboard_name
1,resources/billboards/vaccination_neu.bmp
2,resources/billboards/sunscreen_emo.bmp
3,resources/billboards/distracted_driving_neu.bmp
4,resources/billboards/smoking_neu.bmp
5,resources/billboards/coffee_neu.bmp
6,resources/billboards/lawyer_neu.bmp
7,resources/billboards/furniture_emo.bmp
8,resources/billboards/pizza_neu.bmp
9,resources/billboards/hiv_emo.bmp
10,resources/billboards/buckle_up_emo.bmp
11,resources/billboards/education_donation_emo.bmp
12,resources/billboards/salad_emo.bmp
13,resources/billboards/brunch_neu.bmp
14,resources/billboards/drugged_driving_neu.bmp
15,resources/billboards/hotel_neu.bmp
16,resources/billboards/binge_drinking_emo.bmp
17,resources/billboards/smartphone_emo.bmp
18,resources/billboards/diabetes_neu.bmp
19,resources/billboards/underage_drinking_emo.bmp
20,resources/billboards/burger_emo.bmp
