position,billboard_name
1,resources/billboards/health_8_neu.bmp
2,resources/billboards/commercial_3_emo.bmp
3,resources/billboards/health_13_emo.bmp
4,resources/billboards/health_4_neu.bmp
5,resources/billboards/health_14_neu.bmp
6,resources/billboards/commercial_2_neu.bmp
7,resources/billboards/commercial_6_emo.bmp
8,resources/billboards/commercial_1_emo.bmp
9,resources/billboards/health_5_neu.bmp
10,resources/billboards/health_6_emo.bmp
11,resources/billboards/health_1_neu.bmp
12,resources/billboards/health_9_neu.bmp
13,resources/billboards/health_7_neu.bmp
14,resources/billboards/health_12_emo.bmp
15,resources/billboards/health_11_neu.bmp
16,resources/billboards/commercial_5_neu.bmp
17,resources/billboards/health_2_emo.bmp
18,resources/billboards/commercial_4_emo.bmp
19,resources/billboards/health_3_emo.bmp
20,resources/billboards/health_10_emo.bmp
