,position_index,billboard_image_at_position_text,fix_bill,recall
0,1,vaping,0.0,0
1,2,burger,2.0,0
2,3,drugged_driving,3.0,1
3,4,HIV,4.0,0
4,5,text_driving,5.0,0
5,6,buckle_up,6.0,0
6,7,tech_addiction,7.0,0
7,8,vaccination,8.0,1
8,9,coffee,9.0,0
9,10,healthy_diet,10.0,0
10,11,hotel,11.0,0
11,12,diabetes,12.0,0
12,13,smoking,13.0,0
13,14,marijuana,14.0,0
14,15,binge_drinking,15.0,1
15,16,brunch,16.0,0
16,17,education_donation,17.0,0
17,18,sun_protection,18.0,0
18,19,wash_hands,19.0,0
19,20,furniture,20.0,0
