,position_index,billboard_image_at_position_text,fix_bill,recall
0,1,HIV,1.0,0
1,2,drugged_driving,0.0,0
2,3,sun_protection,3.0,0
3,4,education_donation,4.0,0
4,5,buckle_up,5.0,0
5,6,diabetes,6.0,0
6,7,tech_addiction,7.0,0
7,8,wash_hands,8.0,0
8,9,coffee,9.0,0
9,10,furniture,10.0,0
10,11,vaccination,11.0,0
11,12,binge_drinking,12.0,1
12,13,healthy_diet,13.0,0
13,14,burger,14.0,0
14,15,hotel,15.0,0
15,16,brunch,16.0,1
16,17,smoking,17.0,1
17,18,text_driving,18.0,0
18,19,marijuana,19.0,1
19,20,vaping,20.0,1
