,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,count,recall,recognition
0,1,hotel,hotel_emo,0.0,0.0,0,0
1,2,tech_addiction,tech_addiction_neu,2.0,8.0,0,0
2,3,vaping,vaping_emo,3.0,4.0,0,0
3,4,sun_protection,sun_protection_neu,4.0,3.0,1,1
4,5,marijuana,marijuana_emo,5.0,3.0,0,0
5,6,HIV,HIV_neu,6.0,2.0,0,1
6,7,brunch,brunch_emo,0.0,0.0,0,0
7,8,coffee,coffee_emo,8.0,3.0,0,0
8,9,furniture,furniture_neu,9.0,2.0,0,0
9,10,burger,burger_neu,10.0,2.0,0,1
10,11,education_donation,education_donation_neu,11.0,4.0,0,1
11,12,drugged_driving,drugged_driving_neu,12.0,3.0,0,1
12,13,binge_drinking,binge_drinking_neu,13.0,3.0,0,1
13,14,vaccination,vaccination_neu,14.0,4.0,0,0
14,15,buckle_up,buckle_up_emo,15.0,1.0,1,1
15,16,wash_hands,wash_hands_emo,16.0,3.0,0,0
16,17,text_driving,text_driving_neu,17.0,3.0,0,1
17,18,diabetes,diabetes_emo,18.0,2.0,0,1
18,19,smoking,smoking_emo,19.0,4.0,1,0
19,20,healthy_diet,healthy_diet_emo,20.0,4.0,0,1
